,Bandit,Auction,Time (s),T,k,Revenue
0,TH,MUDAR,201.753,20000,1,2299760.808977223
1,Bayesian_UCB,MUDAR,34.137,20000,2,2032116.226090734
2,UCB,MUDAR,33.421,20000,3,1835015.587873543
3,TH,MUDAR,204.925,20000,4,1736588.0132943008
4,TH,MUDAR,205.843,20000,5,1813578.0387679057
