,Bandit,Auction,Time (s),T,k,Revenue
0,TH,MUDAN,200.971,20000,1,208925.0
1,TH,MUDAR,201.753,20000,1,2299760.808977223
2,UCB,VCG,34.219,20000,1,29467.0
3,TH,GIDM,206.858,20000,1,265012.0
4,TH,MUDAN,202.849,20000,2,324416.0
5,Bayesian_UCB,MUDAR,34.137,20000,2,2032116.226090734
6,Bayesian_UCB,VCG,35.047,20000,2,-407192.0
7,TH,GIDM,207.19,20000,2,420489.0
8,TH,MUDAN,204.507,20000,3,498433.0
9,UCB,MUDAR,33.421,20000,3,1835015.587873543
10,Bayesian_UCB,VCG,33.531,20000,3,-993641.0
11,TH,GIDM,208.207,20000,3,452776.0
12,TH,MUDAN,202.218,20000,4,529409.0
13,TH,MUDAR,204.925,20000,4,1736588.0132943008
14,Bayesian_UCB,VCG,36.21,20000,4,-1651358.0
15,EPS,GIDM,26.263,20000,4,500167.0
16,TH,MUDAN,201.361,20000,5,610472.0
17,TH,MUDAR,205.843,20000,5,1813578.0387679057
18,UCB,VCG,33.174,20000,5,-2344057.0
19,TH,GIDM,204.124,20000,5,576078.0
