Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,34.099,20001,1,2220849.178283564
Bayesian_UCB,MUDAR,34.83,20001,1,2297725.840902015
TH,MUDAR,206.228,20001,1,2146632.8642991865
UCB,MUDAR,33.517,20001,2,1982071.5553187893
Bayesian_UCB,MUDAR,34.499,20001,2,1970998.178166944
TH,MUDAR,201.766,20001,2,1962978.0572451877
UCB,MUDAR,34.767,20001,3,1758932.152900217
Bayesian_UCB,MUDAR,36.684,20001,3,1763959.6461785883
TH,MUDAR,196.806,20001,3,2138664.4987470936
UCB,MUDAR,36.958,20001,4,1626703.210105782
Bayesian_UCB,MUDAR,38.135,20001,4,1614793.6678140871
TH,MUDAR,197.923,20001,4,1852158.129110895
UCB,MUDAR,35.932,20001,5,1437270.7620376737
Bayesian_UCB,MUDAR,35.752,20001,5,1449329.9411888528
TH,MUDAR,198.618,20001,5,1785523.8322182924
