,Bandit,Auction,Time (s),T,k,Revenue
0,UCB,MUDAR,193.147,80000,1,11613611.12476054
1,UCB,MUDAR,195.864,80000,2,10265581.66660314
2,UCB,MUDAR,199.641,80000,3,9706001.699377052
3,UCB,MUDAR,201.548,80000,4,8536424.957549836
4,UCB,MUDAR,205.331,80000,5,7825974.090629617
