Bandit,Auction,Time (s),T,k,Revenue
UCB,VCG,63.99,20000,1,19738
Bayesian_UCB,VCG,69.098,20000,1,12736
EPS,VCG,53.961,20000,1,17088
TH,VCG,238.386,20000,1,36019
UCB,VCG,71.815,20000,4,-1698785
Bayesian_UCB,VCG,76.312,20000,4,-1697223
EPS,VCG,53.244,20000,4,-1693545
TH,VCG,217.142,20000,4,-1728394
UCB,VCG,81.642,20000,20,-9416109
Bayesian_UCB,VCG,85.169,20000,20,-9325251
EPS,VCG,63.948,20000,20,-9535797
TH,VCG,294.988,20000,20,-9836251
