,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAR,5.551,20000,1,1561229.0,pagerank
1,UCB_mean,MUDAR,5.451,20000,4,945422.0,degree
2,UCB_mean,MUDAN,13.057,20000,20,793381.0,degree
3,TH,MUDAN,10.865,20000,50,90639.0,degree
