,Bandit,Auction,Time (s),T,k,Revenue
0,TH,MUDAR,233.36,20000,1,2879664.038575735
1,TH,MUDAR,193.03,20000,2,2237789.549493101
2,TH,MUDAR,206.422,20000,3,1893592.0554066184
3,UCB,MUDAR,38.636,20000,4,1682646.7920898176
4,UCB,MUDAR,32.409,20000,5,1516488.3653744329
