,Bandit,Auction,Time (s),T,k,Revenue
0,TH,MUDAN,196.759,20000,1,204144.0
1,TH,MUDAR,233.36,20000,1,2879664.038575735
2,TH,VCG,202.82,20000,1,40198.0
3,TH,GIDM,199.013,20000,1,277749.0
4,TH,MUDAN,198.241,20000,2,330340.0
5,TH,MUDAR,193.03,20000,2,2237789.549493101
6,UCB,VCG,33.282,20000,2,-401962.0
7,TH,GIDM,204.851,20000,2,382784.0
8,TH,MUDAN,201.826,20000,3,464894.0
9,TH,MUDAR,206.422,20000,3,1893592.0554066184
10,EPS,VCG,25.256,20000,3,-983529.0
11,TH,GIDM,199.174,20000,3,514874.0
12,UCB,MUDAN,33.879,20000,4,518154.0
13,UCB,MUDAR,38.636,20000,4,1682646.7920898176
14,Bayesian_UCB,VCG,36.531,20000,4,-1676159.0
15,TH,GIDM,206.717,20000,4,573051.0
16,TH,MUDAN,199.395,20000,5,609632.0
17,UCB,MUDAR,32.409,20000,5,1516488.3653744329
18,UCB,VCG,34.332,20000,5,-2346377.0
19,TH,GIDM,200.557,20000,5,561396.0
