Bandit,Auction,Time (s),T,k,Revenue,armset
TH,MUDAR,0.005,20,4,3711.2699478003374,voterank
TH_prior,MUDAR,0.004,20,4,1482.8280648080547,voterank
UCB,MUDAR,0.003,20,5,1265.4532750839962,voterank
Bayesian_UCB,MUDAR,0.003,20,5,3395.988622135104,voterank
Bayesian_UCB_prior,MUDAR,0.002,20,5,1195.5004248289742,voterank
TH,MUDAR,0.003,20,5,741.8837061428237,voterank
TH_prior,MUDAR,0.004,20,5,1695.3244533679044,voterank
UCB,MUDAR,0.002,20,1,1747.7311967429562,shapley_degree
Bayesian_UCB,MUDAR,0.002,20,1,2302.3639192271585,shapley_degree
Bayesian_UCB_prior,MUDAR,0.004,20,1,3308.6571204866295,shapley_degree
TH,MUDAR,0.004,20,1,2903.566337764113,shapley_degree
TH_prior,MUDAR,0.004,20,1,2030.9975385280184,shapley_degree
UCB,MUDAR,0.001,20,2,511.19943065238704,shapley_degree
Bayesian_UCB,MUDAR,0.002,20,2,1162.2988509192753,shapley_degree
Bayesian_UCB_prior,MUDAR,0.002,20,2,556.4149166759001,shapley_degree
TH,MUDAR,0.004,20,2,1448.9465095343687,shapley_degree
TH_prior,MUDAR,0.005,20,2,2827.1661861674174,shapley_degree
UCB,MUDAR,0.002,20,3,565.5962792889586,shapley_degree
Bayesian_UCB,MUDAR,0.002,20,3,1046.443947905141,shapley_degree
Bayesian_UCB_prior,MUDAR,0.002,20,3,1577.2313927180935,shapley_degree
TH,MUDAR,0.004,20,3,1683.2173016858333,shapley_degree
TH_prior,MUDAR,0.004,20,3,1088.9541194701324,shapley_degree
UCB,MUDAR,0.002,20,4,635.2205925379839,shapley_degree
Bayesian_UCB,MUDAR,0.002,20,4,1648.2161774417436,shapley_degree
Bayesian_UCB_prior,MUDAR,0.002,20,4,766.5936909799696,shapley_degree
TH,MUDAR,0.004,20,4,2903.0765537552616,shapley_degree
TH_prior,MUDAR,0.004,20,4,2771.8743476591876,shapley_degree
UCB,MUDAR,0.003,20,5,3030.928963823646,shapley_degree
Bayesian_UCB,MUDAR,0.002,20,5,848.197710146316,shapley_degree
Bayesian_UCB_prior,MUDAR,0.002,20,5,1870.705288830475,shapley_degree
TH,MUDAR,0.003,20,5,1287.9251910174994,shapley_degree
TH_prior,MUDAR,0.004,20,5,1405.4925508947024,shapley_degree
UCB,MUDAR,0.003,20,1,4388.0407324407515,shapley_threshold
Bayesian_UCB,MUDAR,0.001,20,1,1644.6537867757859,shapley_threshold
Bayesian_UCB_prior,MUDAR,0.001,20,1,257.56641294699756,shapley_threshold
TH,MUDAR,0.003,20,1,1900.701611856233,shapley_threshold
TH_prior,MUDAR,0.003,20,1,1297.8447357241891,shapley_threshold
UCB,MUDAR,0.002,20,2,1605.1673161395843,shapley_threshold
Bayesian_UCB,MUDAR,0.002,20,2,1403.3730252213109,shapley_threshold
Bayesian_UCB_prior,MUDAR,0.002,20,2,2883.2068792037253,shapley_threshold
TH,MUDAR,0.003,20,2,1778.2467332853664,shapley_threshold
TH_prior,MUDAR,0.004,20,2,2492.9418617576575,shapley_threshold
UCB,MUDAR,0.002,20,3,1178.271165050781,shapley_threshold
Bayesian_UCB,MUDAR,0.002,20,3,2487.9415135837176,shapley_threshold
Bayesian_UCB_prior,MUDAR,0.001,20,3,486.3170894167488,shapley_threshold
TH,MUDAR,0.003,20,3,1063.5145466554345,shapley_threshold
TH_prior,MUDAR,0.003,20,3,1249.2929077548547,shapley_threshold
UCB,MUDAR,0.002,20,4,1283.9917890803813,shapley_threshold
Bayesian_UCB,MUDAR,0.002,20,4,499.5463568225274,shapley_threshold
Bayesian_UCB_prior,MUDAR,0.002,20,4,1412.8677686790331,shapley_threshold
TH,MUDAR,0.004,20,4,1598.5528594384914,shapley_threshold
TH_prior,MUDAR,0.003,20,4,711.4085542298319,shapley_threshold
UCB,MUDAR,0.002,20,5,2007.917346487303,shapley_threshold
Bayesian_UCB,MUDAR,0.003,20,5,2359.567367006197,shapley_threshold
Bayesian_UCB_prior,MUDAR,0.002,20,5,963.2133000653215,shapley_threshold
TH,MUDAR,0.005,20,5,3398.8103591140803,shapley_threshold
TH_prior,MUDAR,0.003,20,5,757.6371979728442,shapley_threshold
UCB,MUDAR,0.003,20,1,3947.9260820862437,shapley_closeness
Bayesian_UCB,MUDAR,0.002,20,1,3053.9006663007294,shapley_closeness
Bayesian_UCB_prior,MUDAR,0.002,20,1,2351.3012940842386,shapley_closeness
TH,MUDAR,0.003,20,1,1599.1033846246494,shapley_closeness
TH_prior,MUDAR,0.003,20,1,2264.2097814107483,shapley_closeness
UCB,MUDAR,0.002,20,2,2717.1970536453528,shapley_closeness
Bayesian_UCB,MUDAR,0.002,20,2,1857.470508599231,shapley_closeness
Bayesian_UCB_prior,MUDAR,0.002,20,2,2801.8235313123078,shapley_closeness
TH,MUDAR,0.003,20,2,880.4585737048199,shapley_closeness
TH_prior,MUDAR,0.004,20,2,3870.9823043654433,shapley_closeness
UCB,MUDAR,0.002,20,3,2876.2638590918987,shapley_closeness
Bayesian_UCB,MUDAR,0.001,20,3,667.0438825020008,shapley_closeness
Bayesian_UCB_prior,MUDAR,0.002,20,3,1717.0672050504947,shapley_closeness
TH,MUDAR,0.004,20,3,1276.601303354715,shapley_closeness
TH_prior,MUDAR,0.003,20,3,1381.6418875711681,shapley_closeness
UCB,MUDAR,0.001,20,4,722.9139646747976,shapley_closeness
Bayesian_UCB,MUDAR,0.002,20,4,1355.7244181597514,shapley_closeness
Bayesian_UCB_prior,MUDAR,0.002,20,4,1256.7184868780314,shapley_closeness
TH,MUDAR,0.003,20,4,1002.5228414219737,shapley_closeness
TH_prior,MUDAR,0.003,20,4,533.3112809369379,shapley_closeness
UCB,MUDAR,0.002,20,5,1907.6401528806223,shapley_closeness
Bayesian_UCB,MUDAR,0.003,20,5,3098.6913544302897,shapley_closeness
Bayesian_UCB_prior,MUDAR,0.001,20,5,85.77747185152408,shapley_closeness
TH,MUDAR,0.003,20,5,1675.258652177809,shapley_closeness
TH_prior,MUDAR,0.003,20,5,776.5756276864595,shapley_closeness
