Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,0.032,20,1,101.0,normal
Bayesian_UCB,MUDAN,0.046,20,1,149.0,normal
TH,MUDAN,0.202,20,1,134.0,normal
UCB,MUDAN,0.032,20,2,549.0,normal
Bayesian_UCB,MUDAN,0.034,20,2,244.0,normal
TH,MUDAN,0.201,20,2,93.0,normal
UCB,MUDAN,0.034,20,3,830.0,normal
Bayesian_UCB,MUDAN,0.034,20,3,254.0,normal
TH,MUDAN,0.203,20,3,315.0,normal
UCB,MUDAN,0.034,20,4,226.0,normal
Bayesian_UCB,MUDAN,0.032,20,4,517.0,normal
TH,MUDAN,0.201,20,4,293.0,normal
UCB,MUDAN,0.032,20,5,432.0,normal
Bayesian_UCB,MUDAN,0.033,20,5,963.0,normal
TH,MUDAN,0.203,20,5,418.0,normal
UCB,MUDAN,0.002,20,1,311.0,pagerank
Bayesian_UCB,MUDAN,0.002,20,1,190.0,pagerank
Bayesian_UCB_prior,MUDAN,0.002,20,1,221.0,pagerank
TH,MUDAN,0.003,20,1,233.0,pagerank
TH_prior,MUDAN,0.003,20,1,225.0,pagerank
UCB,MUDAN,0.001,20,2,115.0,pagerank
Bayesian_UCB,MUDAN,0.002,20,2,569.0,pagerank
Bayesian_UCB_prior,MUDAN,0.002,20,2,340.0,pagerank
TH,MUDAN,0.003,20,2,272.0,pagerank
TH_prior,MUDAN,0.003,20,2,633.0,pagerank
UCB,MUDAN,0.002,20,3,318.0,pagerank
Bayesian_UCB,MUDAN,0.001,20,3,233.0,pagerank
Bayesian_UCB_prior,MUDAN,0.002,20,3,281.0,pagerank
TH,MUDAN,0.004,20,3,484.0,pagerank
TH_prior,MUDAN,0.004,20,3,648.0,pagerank
UCB,MUDAN,0.002,20,4,458.0,pagerank
Bayesian_UCB,MUDAN,0.002,20,4,595.0,pagerank
Bayesian_UCB_prior,MUDAN,0.001,20,4,253.0,pagerank
TH,MUDAN,0.004,20,4,1091.0,pagerank
TH_prior,MUDAN,0.004,20,4,536.0,pagerank
UCB,MUDAN,0.002,20,5,136.0,pagerank
Bayesian_UCB,MUDAN,0.003,20,5,1130.0,pagerank
Bayesian_UCB_prior,MUDAN,0.002,20,5,907.0,pagerank
TH,MUDAN,0.003,20,5,642.0,pagerank
TH_prior,MUDAN,0.004,20,5,764.0,pagerank
UCB,MUDAN,0.003,20,1,209.0,degree
Bayesian_UCB,MUDAN,0.001,20,1,140.0,degree
Bayesian_UCB_prior,MUDAN,0.002,20,1,350.0,degree
TH,MUDAN,0.004,20,1,189.0,degree
TH_prior,MUDAN,0.003,20,1,188.0,degree
UCB,MUDAN,0.002,20,2,242.0,degree
Bayesian_UCB,MUDAN,0.003,20,2,388.0,degree
