,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,12.288,20000,2,430920.0,pagerank
1,UCB,MUDAR,9.135,20000,2,396818.8066549792,pagerank
2,UCB,GIDM,19.957,20000,2,530964.0,degree
3,UCB,MUDAN,14.147,20000,3,618895.0,voterank
4,UCB,MUDAR,19.455,20000,3,575088.4330474914,voterank
5,UCB,GIDM,18.736,20000,3,617183.0,voterank
6,UCB,MUDAN,19.524,20000,4,701698.0,degree
7,UCB,MUDAR,11.698,20000,4,613834.206682494,pagerank
8,UCB,GIDM,21.535,20000,4,736671.0,pagerank
9,UCB,MUDAN,14.424,20000,5,941040.0,pagerank
10,UCB,MUDAR,15.839,20000,5,727657.833879305,degree
11,UCB,GIDM,21.547,20000,5,871954.0,degree
