,Bandit,Auction,Time (s),T,k,Revenue
0,UCB,MUDAR,204.064,80000,1,12643427.877016896
1,UCB,MUDAR,197.525,80000,2,9738898.854637785
2,UCB,MUDAR,193.589,80000,3,8929778.377145942
3,UCB,MUDAR,204.475,80000,4,8430468.924984299
4,UCB,MUDAR,205.886,80000,5,8378760.902682138
