Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAN,225.247,80000,1,1052162.0
Bayesian_UCB,MUDAN,205.344,80000,1,797834.0
EPS,MUDAN,141.431,80000,1,724122.0
TH,MUDAN,823.021,80000,1,827106.0
UCB,MUDAN,206.789,80000,2,1560810.0
Bayesian_UCB,MUDAN,205.721,80000,2,1392563.0
EPS,MUDAN,145.172,80000,2,1234152.0
TH,MUDAN,825.797,80000,2,1403483.0
UCB,MUDAN,200.935,80000,3,2198663.0
Bayesian_UCB,MUDAN,210.173,80000,3,1928021.0
EPS,MUDAN,142.329,80000,3,1685062.0
TH,MUDAN,831.634,80000,3,1771834.0
UCB,MUDAN,201.576,80000,4,2554246.0
Bayesian_UCB,MUDAN,207.341,80000,4,2316163.0
EPS,MUDAN,147.267,80000,4,2067430.0
TH,MUDAN,826.409,80000,4,2510665.0
UCB,MUDAN,213.688,80000,5,2850161.0
Bayesian_UCB,MUDAN,210.637,80000,5,2684828.0
EPS,MUDAN,146.452,80000,5,2317305.0
TH,MUDAN,840.053,80000,5,2679891.0
