,Bandit,Auction,T,k,Revenue
0,UCB,GIDM,80000,2,1849378.0
1,UCB,GIDM,80000,3,2163322.0
2,UCB,GIDM,80000,4,2494297.0
3,UCB,MUDAN,80000,5,2801173.0
