,Bandit,T,k,Revenue,armset
0,UCB,20000,2,509786.0,pagerank
1,UCB,20000,3,671116.0,pagerank
2,UCB,20000,4,727965.0,pagerank
3,UCB,20000,5,762780.0,pagerank
