Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,GIDM,0.021,100,2,2968.0,shapley_degree
Bayesian_UCB,GIDM,0.016,100,2,1890.0,shapley_degree
Bayesian_UCB_prior,GIDM,0.012,100,2,2542.0,shapley_degree
TH,GIDM,0.024,100,2,2190.0,shapley_degree
TH_prior,GIDM,0.021,100,2,2412.0,shapley_degree
UCB,GIDM,0.013,100,3,2329.0,shapley_degree
Bayesian_UCB,GIDM,0.017,100,3,2036.0,shapley_degree
Bayesian_UCB_prior,GIDM,0.021,100,3,3466.0,shapley_degree
TH,GIDM,0.024,100,3,2580.0,shapley_degree
TH_prior,GIDM,0.025,100,3,2218.0,shapley_degree
UCB,GIDM,0.024,100,4,3524.0,shapley_degree
Bayesian_UCB,GIDM,0.011,100,4,1708.0,shapley_degree
Bayesian_UCB_prior,GIDM,0.016,100,4,2179.0,shapley_degree
TH,GIDM,0.027,100,4,3090.0,shapley_degree
TH_prior,GIDM,0.023,100,4,3068.0,shapley_degree
UCB,GIDM,0.016,100,5,2115.0,shapley_degree
Bayesian_UCB,GIDM,0.011,100,5,1111.0,shapley_degree
Bayesian_UCB_prior,GIDM,0.017,100,5,3270.0,shapley_degree
TH,GIDM,0.024,100,5,2302.0,shapley_degree
TH_prior,GIDM,0.026,100,5,4014.0,shapley_degree
UCB,GIDM,0.011,100,1,1324.0,shapley_threshold
Bayesian_UCB,GIDM,0.013,100,1,1076.0,shapley_threshold
Bayesian_UCB_prior,GIDM,0.012,100,1,1302.0,shapley_threshold
TH,GIDM,0.028,100,1,1456.0,shapley_threshold
TH_prior,GIDM,0.024,100,1,1916.0,shapley_threshold
UCB,GIDM,0.014,100,2,1206.0,shapley_threshold
Bayesian_UCB,GIDM,0.014,100,2,1999.0,shapley_threshold
Bayesian_UCB_prior,GIDM,0.014,100,2,2158.0,shapley_threshold
TH,GIDM,0.031,100,2,1887.0,shapley_threshold
TH_prior,GIDM,0.027,100,2,1815.0,shapley_threshold
UCB,GIDM,0.016,100,3,2594.0,shapley_threshold
Bayesian_UCB,GIDM,0.03,100,3,3970.0,shapley_threshold
Bayesian_UCB_prior,GIDM,0.018,100,3,2410.0,shapley_threshold
TH,GIDM,0.03,100,3,1980.0,shapley_threshold
TH_prior,GIDM,0.021,100,3,1528.0,shapley_threshold
UCB,GIDM,0.017,100,4,3018.0,shapley_threshold
Bayesian_UCB,GIDM,0.029,100,4,2276.0,shapley_threshold
