Bandit,Auction,Time (s),T,k,Revenue,armset
Bayesian_UCB_prior,MUDAN,0.006,100,1,818.0,shapley_degree
TH,MUDAN,0.016,100,1,1464.0,shapley_degree
TH_prior,MUDAN,0.014,100,1,850.0,shapley_degree
UCB,MUDAN,0.008,100,2,1444.0,shapley_degree
Bayesian_UCB,MUDAN,0.007,100,2,1467.0,shapley_degree
Bayesian_UCB_prior,MUDAN,0.007,100,2,1500.0,shapley_degree
TH,MUDAN,0.015,100,2,1516.0,shapley_degree
TH_prior,MUDAN,0.015,100,2,2055.0,shapley_degree
UCB,MUDAN,0.008,100,3,2123.0,shapley_degree
Bayesian_UCB,MUDAN,0.006,100,3,1621.0,shapley_degree
Bayesian_UCB_prior,MUDAN,0.009,100,3,2779.0,shapley_degree
TH,MUDAN,0.014,100,3,1774.0,shapley_degree
TH_prior,MUDAN,0.016,100,3,2223.0,shapley_degree
UCB,MUDAN,0.01,100,4,2752.0,shapley_degree
Bayesian_UCB,MUDAN,0.011,100,4,3558.0,shapley_degree
Bayesian_UCB_prior,MUDAN,0.009,100,4,3427.0,shapley_degree
TH,MUDAN,0.017,100,4,3657.0,shapley_degree
TH_prior,MUDAN,0.016,100,4,3885.0,shapley_degree
UCB,MUDAN,0.008,100,5,2414.0,shapley_degree
Bayesian_UCB,MUDAN,0.008,100,5,2382.0,shapley_degree
Bayesian_UCB_prior,MUDAN,0.009,100,5,2838.0,shapley_degree
TH,MUDAN,0.016,100,5,2475.0,shapley_degree
TH_prior,MUDAN,0.019,100,5,4216.0,shapley_degree
UCB,MUDAN,0.006,100,1,691.0,shapley_threshold
Bayesian_UCB,MUDAN,0.007,100,1,1314.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,0.007,100,1,1436.0,shapley_threshold
TH,MUDAN,0.014,100,1,944.0,shapley_threshold
TH_prior,MUDAN,0.015,100,1,1152.0,shapley_threshold
UCB,MUDAN,0.008,100,2,2193.0,shapley_threshold
Bayesian_UCB,MUDAN,0.006,100,2,1397.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,0.007,100,2,1627.0,shapley_threshold
TH,MUDAN,0.015,100,2,1591.0,shapley_threshold
TH_prior,MUDAN,0.015,100,2,1809.0,shapley_threshold
UCB,MUDAN,0.008,100,3,1658.0,shapley_threshold
Bayesian_UCB,MUDAN,0.008,100,3,2312.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,0.008,100,3,2489.0,shapley_threshold
TH,MUDAN,0.016,100,3,2156.0,shapley_threshold
TH_prior,MUDAN,0.018,100,3,2780.0,shapley_threshold
UCB,MUDAN,0.009,100,4,2822.0,shapley_threshold
Bayesian_UCB,MUDAN,0.009,100,4,2799.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,0.008,100,4,2930.0,shapley_threshold
TH,MUDAN,0.016,100,4,2222.0,shapley_threshold
TH_prior,MUDAN,0.015,100,4,2063.0,shapley_threshold
UCB,MUDAN,0.008,100,5,2265.0,shapley_threshold
Bayesian_UCB,MUDAN,0.009,100,5,2976.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,0.009,100,5,3110.0,shapley_threshold
TH,MUDAN,0.016,100,5,1928.0,shapley_threshold
TH_prior,MUDAN,0.017,100,5,3479.0,shapley_threshold
UCB,MUDAN,0.007,100,1,1318.0,shapley_closeness
Bayesian_UCB,MUDAN,0.008,100,1,1029.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,0.007,100,1,842.0,shapley_closeness
TH,MUDAN,0.014,100,1,634.0,shapley_closeness
TH_prior,MUDAN,0.015,100,1,1211.0,shapley_closeness
UCB,MUDAN,0.007,100,2,1322.0,shapley_closeness
Bayesian_UCB,MUDAN,0.009,100,2,1711.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,0.008,100,2,1882.0,shapley_closeness
TH,MUDAN,0.016,100,2,1694.0,shapley_closeness
TH_prior,MUDAN,0.015,100,2,1731.0,shapley_closeness
UCB,MUDAN,0.007,100,3,2438.0,shapley_closeness
Bayesian_UCB,MUDAN,0.007,100,3,1506.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,0.007,100,3,1480.0,shapley_closeness
TH,MUDAN,0.016,100,3,2280.0,shapley_closeness
TH_prior,MUDAN,0.015,100,3,2091.0,shapley_closeness
UCB,MUDAN,0.008,100,4,2943.0,shapley_closeness
Bayesian_UCB,MUDAN,0.008,100,4,2164.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,0.008,100,4,2625.0,shapley_closeness
TH,MUDAN,0.016,100,4,2322.0,shapley_closeness
TH_prior,MUDAN,0.016,100,4,2707.0,shapley_closeness
UCB,MUDAN,0.009,100,5,2957.0,shapley_closeness
Bayesian_UCB,MUDAN,0.009,100,5,2685.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,0.009,100,5,3180.0,shapley_closeness
TH,MUDAN,0.015,100,5,1835.0,shapley_closeness
TH_prior,MUDAN,0.018,100,5,3950.0,shapley_closeness
