,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,5.948,20000,2,533543.0,voterank
1,UCB,MUDAR,9.308,20000,2,433290.5803546031,degree
2,UCB,GIDM,12.854,20000,2,649546.0,degree
3,UCB,MUDAN,6.8,20000,3,683859.0,shapley_closeness
4,UCB,MUDAR,8.253,20000,3,572450.0174556932,shapley_threshold
5,UCB,GIDM,12.802,20000,3,795898.0,degree
6,UCB,MUDAN,13.866,20000,4,847656.0,shapley_closeness
7,UCB,MUDAR,8.622,20000,4,677525.5050334487,shapley_degree
8,UCB,GIDM,12.633,20000,4,882022.0,voterank
9,UCB,MUDAN,13.224,20000,5,954375.0,shapley_closeness
10,UCB,MUDAR,4.428,20000,5,759213.228429673,voterank
11,UCB,GIDM,14.974,20000,5,938687.0,shapley_threshold
