Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,8.179,20000,1,248210.0,shapley_degree
Bayesian_UCB,MUDAN,9.027,20000,1,220612.0,shapley_degree
Bayesian_UCB_prior,MUDAN,9.012,20000,1,219408.0,shapley_degree
TH,MUDAN,15.923,20000,1,241943.0,shapley_degree
TH_prior,MUDAN,12.72,20000,1,221682.0,shapley_degree
UCB,MUDAN,15.279,20000,2,451345.0,shapley_degree
Bayesian_UCB,MUDAN,10.871,20000,2,399965.0,shapley_degree
Bayesian_UCB_prior,MUDAN,8.285,20000,2,379168.0,shapley_degree
TH,MUDAN,11.527,20000,2,364501.0,shapley_degree
TH_prior,MUDAN,11.689,20000,2,351476.0,shapley_degree
UCB,MUDAN,9.183,20000,3,575938.0,shapley_degree
Bayesian_UCB,MUDAN,9.289,20000,3,489986.0,shapley_degree
Bayesian_UCB_prior,MUDAN,8.658,20000,3,521237.0,shapley_degree
TH,MUDAN,12.163,20000,3,548570.0,shapley_degree
TH_prior,MUDAN,11.427,20000,3,475353.0,shapley_degree
UCB,MUDAN,10.143,20000,4,745811.0,shapley_degree
Bayesian_UCB,MUDAN,11.381,20000,4,633180.0,shapley_degree
Bayesian_UCB_prior,MUDAN,12.181,20000,4,628590.0,shapley_degree
TH,MUDAN,12.995,20000,4,569860.0,shapley_degree
TH_prior,MUDAN,12.722,20000,4,610313.0,shapley_degree
UCB,MUDAN,11.464,20000,5,762097.0,shapley_degree
Bayesian_UCB,MUDAN,10.183,20000,5,670500.0,shapley_degree
Bayesian_UCB_prior,MUDAN,10.63,20000,5,713795.0,shapley_degree
TH,MUDAN,14.388,20000,5,723980.0,shapley_degree
TH_prior,MUDAN,14.083,20000,5,684366.0,shapley_degree
UCB,MUDAN,17.513,20000,1,285602.0,shapley_threshold
Bayesian_UCB,MUDAN,9.003,20000,1,213744.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,8.377,20000,1,235601.0,shapley_threshold
TH,MUDAN,8.669,20000,1,234308.0,shapley_threshold
TH_prior,MUDAN,9.447,20000,1,200726.0,shapley_threshold
UCB,MUDAN,10.928,20000,2,449317.0,shapley_threshold
Bayesian_UCB,MUDAN,11.633,20000,2,367378.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,12.168,20000,2,376707.0,shapley_threshold
TH,MUDAN,13.51,20000,2,343777.0,shapley_threshold
TH_prior,MUDAN,12.556,20000,2,363521.0,shapley_threshold
UCB,MUDAN,10.384,20000,3,630933.0,shapley_threshold
Bayesian_UCB,MUDAN,9.515,20000,3,521985.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,9.794,20000,3,490130.0,shapley_threshold
TH,MUDAN,10.604,20000,3,471251.0,shapley_threshold
TH_prior,MUDAN,11.088,20000,3,518083.0,shapley_threshold
UCB,MUDAN,12.971,20000,4,679247.0,shapley_threshold
Bayesian_UCB,MUDAN,11.232,20000,4,622279.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,7.919,20000,4,653589.0,shapley_threshold
TH,MUDAN,14.07,20000,4,612329.0,shapley_threshold
TH_prior,MUDAN,12.722,20000,4,633550.0,shapley_threshold
UCB,MUDAN,10.531,20000,5,834821.0,shapley_threshold
Bayesian_UCB,MUDAN,12.496,20000,5,680987.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,11.083,20000,5,636268.0,shapley_threshold
TH,MUDAN,13.188,20000,5,690591.0,shapley_threshold
TH_prior,MUDAN,14.121,20000,5,700064.0,shapley_threshold
UCB,MUDAN,14.591,20000,1,248463.0,shapley_closeness
Bayesian_UCB,MUDAN,10.84,20000,1,220837.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,11.712,20000,1,232287.0,shapley_closeness
TH,MUDAN,12.471,20000,1,242693.0,shapley_closeness
TH_prior,MUDAN,12.543,20000,1,237588.0,shapley_closeness
UCB,MUDAN,16.419,20000,2,507720.0,shapley_closeness
Bayesian_UCB,MUDAN,8.512,20000,2,366692.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,7.643,20000,2,392229.0,shapley_closeness
TH,MUDAN,9.665,20000,2,390659.0,shapley_closeness
TH_prior,MUDAN,10.148,20000,2,410077.0,shapley_closeness
UCB,MUDAN,12.996,20000,3,556611.0,shapley_closeness
Bayesian_UCB,MUDAN,11.765,20000,3,537341.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,10.964,20000,3,497282.0,shapley_closeness
TH,MUDAN,12.627,20000,3,455239.0,shapley_closeness
TH_prior,MUDAN,13.448,20000,3,483216.0,shapley_closeness
UCB,MUDAN,14.481,20000,4,793969.0,shapley_closeness
Bayesian_UCB,MUDAN,11.95,20000,4,643790.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,10.709,20000,4,624526.0,shapley_closeness
TH,MUDAN,13.116,20000,4,582503.0,shapley_closeness
TH_prior,MUDAN,13.964,20000,4,608898.0,shapley_closeness
UCB,MUDAN,9.704,20000,5,721605.0,shapley_closeness
Bayesian_UCB,MUDAN,9.787,20000,5,622247.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,9.641,20000,5,718718.0,shapley_closeness
TH,MUDAN,14.093,20000,5,669513.0,shapley_closeness
TH_prior,MUDAN,14.076,20000,5,681392.0,shapley_closeness
