Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,0.167,100,1,13548.414640408046
Bayesian_UCB,MUDAR,0.151,100,1,14448.412094800258
TH,MUDAR,0.977,100,1,17345.7034751383
UCB,MUDAR,0.179,100,2,10161.62225092476
Bayesian_UCB,MUDAR,0.147,100,2,6785.751173747625
TH,MUDAR,0.952,100,2,13492.230423378536
UCB,MUDAR,0.168,100,3,10564.810982564213
Bayesian_UCB,MUDAR,0.147,100,3,5578.810088285654
TH,MUDAR,0.956,100,3,19523.52458121312
UCB,MUDAR,0.168,100,4,8459.870438385095
Bayesian_UCB,MUDAR,0.157,100,4,6641.46082923631
TH,MUDAR,0.958,100,4,16676.138261066004
UCB,MUDAR,0.179,100,5,8963.499966740334
Bayesian_UCB,MUDAR,0.152,100,5,8126.642393909871
TH,MUDAR,0.965,100,5,9059.09545673084
