Bandit,Auction,Time (s),T,k,Revenue
UCB,GIDM,0.158,100,1,1611.0
Bayesian_UCB,GIDM,0.161,100,1,1682.0
TH,GIDM,0.975,100,1,1423.0
UCB,GIDM,0.16,100,2,1811.0
Bayesian_UCB,GIDM,0.165,100,2,2603.0
TH,GIDM,0.966,100,2,2421.0
UCB,GIDM,0.16,100,3,3114.0
Bayesian_UCB,GIDM,0.175,100,3,2928.0
TH,GIDM,0.982,100,3,2640.0
UCB,GIDM,0.165,100,4,3597.0
Bayesian_UCB,GIDM,0.168,100,4,3209.0
TH,GIDM,0.971,100,4,4118.0
UCB,GIDM,0.155,100,5,1900.0
Bayesian_UCB,GIDM,0.157,100,5,1728.0
TH,GIDM,0.98,100,5,2829.0
