,Bandit,Auction,Revenue,armset
0,UCB,GIDM,1835719.0,voterank
1,UCB,GIDM,2149290.0,voterank
2,UCB,GIDM,2315599.0,shapley_degree
3,UCB,MUDAN,2555035.0,shapley_degree
