,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,22.662,40000,2,858736.0,voterank
1,UCB,MUDAR,37.002,40000,2,891589.40191321,voterank
2,UCB,GIDM,30.877,40000,2,1216129.0,degree
3,UCB,MUDAN,32.78,40000,3,1251407.0,voterank
4,UCB,MUDAR,37.268,40000,3,1141170.271989579,degree
5,UCB,GIDM,53.327,40000,3,1578853.0,pagerank
6,UCB,MUDAN,43.791,40000,4,1551983.0,degree
7,UCB,MUDAR,27.39,40000,4,1321819.7027055686,pagerank
8,UCB,GIDM,59.555,40000,4,1815296.0,voterank
9,UCB,MUDAN,45.623,40000,5,1540470.0,voterank
10,UCB,MUDAR,38.028,40000,5,1671740.9308037155,pagerank
11,UCB,GIDM,30.315,40000,5,1693878.0,degree
