,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,25.323,40000,2,972701.0,degree
1,UCB,MUDAR,25.027,40000,2,923731.928053374,degree
2,UCB,GIDM,45.215,40000,2,1089770.0,voterank
3,UCB,MUDAN,39.094,40000,3,1197022.0,voterank
4,UCB,MUDAR,43.576,40000,3,1106153.954126086,voterank
5,UCB,GIDM,35.933,40000,3,1261602.0,voterank
6,UCB,MUDAN,42.894,40000,4,1508542.0,pagerank
7,UCB,MUDAR,36.479,40000,4,1321191.1298000072,pagerank
8,UCB,GIDM,25.947,40000,4,1371504.0,pagerank
9,UCB,MUDAN,32.712,40000,5,1649080.0,pagerank
10,UCB,MUDAR,43.183,40000,5,1450458.0776750646,degree
11,UCB,GIDM,51.716,40000,5,1680171.0,degree
