,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,6.238,20000,2,479851.0,degree
1,UCB,MUDAR,8.265,20000,2,430076.2830659924,degree
2,UCB,GIDM,10.518,20000,2,529334.0,degree
3,UCB,MUDAN,7.308,20000,3,609204.0,voterank
4,UCB,MUDAR,4.904,20000,3,553052.1914604595,voterank
5,UCB,GIDM,7.402,20000,3,602278.0,pagerank
6,UCB,MUDAN,7.674,20000,4,876743.0,pagerank
7,UCB,MUDAR,7.196,20000,4,636035.4052469181,degree
8,UCB,GIDM,14.544,20000,4,774833.0,voterank
9,UCB,MUDAN,6.167,20000,5,910432.0,degree
10,UCB,MUDAR,8.113,20000,5,726031.1710488006,degree
11,UCB,GIDM,10.708,20000,5,848473.0,voterank
