,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAN,8.924,20000,2,468080.0,degree
1,UCB,MUDAR,18.72,20000,2,477627.937372414,pagerank
2,UCB,GIDM,9.475,20000,2,578394.0,pagerank
3,UCB,MUDAN,7.644,20000,3,637907.0,voterank
4,UCB,MUDAR,5.484,20000,3,578524.7370448995,degree
5,UCB,GIDM,13.639,20000,3,761586.0,degree
6,UCB,MUDAN,4.969,20000,4,714342.0,pagerank
7,UCB,MUDAR,4.967,20000,4,670971.5723586595,degree
8,UCB,GIDM,16.473,20000,4,829373.0,degree
9,UCB,MUDAN,9.124,20000,5,893831.0,degree
10,UCB,MUDAR,9.778,20000,5,719429.1134576775,pagerank
11,UCB,GIDM,22.311,20000,5,887997.0,degree
