,Bandit,Auction,T,k,Revenue
0,TH,GIDM,20000,2,382784.0
1,TH,GIDM,20000,3,514874.0
2,TH,GIDM,20000,4,573051.0
3,TH,MUDAN,20000,5,609632.0
