Bandit,Auction,Time (s),T,k,Revenue
UCB,GIDM,34.269,20000,1,259906.0
Bayesian_UCB,GIDM,34.442,20000,1,260389.0
Bayesian_UCB,GIDM,34.465,20000,1,254255.0
EPS,GIDM,24.865,20000,1,258199.0
TH,GIDM,199.013,20000,1,277749.0
UCB,GIDM,34.555,20000,2,359647.0
Bayesian_UCB,GIDM,34.864,20000,2,356538.0
Bayesian_UCB,GIDM,35.08,20000,2,354467.0
EPS,GIDM,25.221,20000,2,355765.0
TH,GIDM,204.851,20000,2,382784.0
UCB,GIDM,34.902,20000,3,416156.0
Bayesian_UCB,GIDM,34.827,20000,3,429963.0
Bayesian_UCB,GIDM,34.804,20000,3,425332.0
EPS,GIDM,24.761,20000,3,425692.0
TH,GIDM,199.174,20000,3,514874.0
UCB,GIDM,36.221,20000,4,495805.0
Bayesian_UCB,GIDM,40.181,20000,4,490516.0
Bayesian_UCB,GIDM,37.014,20000,4,487580.0
EPS,GIDM,28.393,20000,4,494432.0
TH,GIDM,206.717,20000,4,573051.0
UCB,GIDM,35.489,20000,5,518246.0
Bayesian_UCB,GIDM,35.727,20000,5,536047.0
Bayesian_UCB,GIDM,36.084,20000,5,536822.0
EPS,GIDM,25.935,20000,5,524981.0
TH,GIDM,200.557,20000,5,561396.0
