Bandit,Auction,Time (s),T,k,Revenue
UCB,GIDM,34.147,20000,1,256678.0
Bayesian_UCB,GIDM,39.633,20000,1,263662.0
Bayesian_UCB,GIDM,36.324,20000,1,257390.0
EPS,GIDM,26.663,20000,1,256116.0
TH,GIDM,206.858,20000,1,265012.0
UCB,GIDM,36.239,20000,2,351957.0
Bayesian_UCB,GIDM,35.769,20000,2,359023.0
Bayesian_UCB,GIDM,35.794,20000,2,358697.0
EPS,GIDM,26.505,20000,2,367216.0
TH,GIDM,207.19,20000,2,420489.0
UCB,GIDM,36.247,20000,3,424756.0
Bayesian_UCB,GIDM,36.288,20000,3,433424.0
Bayesian_UCB,GIDM,36.079,20000,3,413354.0
EPS,GIDM,27.001,20000,3,437724.0
TH,GIDM,208.207,20000,3,452776.0
UCB,GIDM,35.916,20000,4,481458.0
Bayesian_UCB,GIDM,35.944,20000,4,488738.0
Bayesian_UCB,GIDM,36.528,20000,4,496834.0
EPS,GIDM,26.263,20000,4,500167.0
TH,GIDM,205.011,20000,4,482528.0
UCB,GIDM,35.366,20000,5,521484.0
Bayesian_UCB,GIDM,35.369,20000,5,528793.0
Bayesian_UCB,GIDM,35.547,20000,5,521814.0
EPS,GIDM,25.99,20000,5,515683.0
TH,GIDM,204.124,20000,5,576078.0
