Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAN,33.195,20000,1,181017.0
Bayesian_UCB,MUDAN,33.531,20000,1,183987.0
Bayesian_UCB,MUDAN,33.471,20000,1,185525.0
EPS,MUDAN,23.241,20000,1,179875.0
TH,MUDAN,200.971,20000,1,208925.0
UCB,MUDAN,33.67,20000,2,307407.0
Bayesian_UCB,MUDAN,34.2,20000,2,313399.0
Bayesian_UCB,MUDAN,34.32,20000,2,312015.0
EPS,MUDAN,24.196,20000,2,303868.0
TH,MUDAN,202.849,20000,2,324416.0
UCB,MUDAN,34.285,20000,3,414355.0
Bayesian_UCB,MUDAN,34.567,20000,3,418820.0
Bayesian_UCB,MUDAN,34.064,20000,3,424306.0
EPS,MUDAN,23.855,20000,3,421085.0
TH,MUDAN,204.507,20000,3,498433.0
UCB,MUDAN,33.93,20000,4,515258.0
Bayesian_UCB,MUDAN,34.729,20000,4,511656.0
Bayesian_UCB,MUDAN,34.322,20000,4,520472.0
EPS,MUDAN,24.611,20000,4,519372.0
TH,MUDAN,202.218,20000,4,529409.0
UCB,MUDAN,34.179,20000,5,583278.0
Bayesian_UCB,MUDAN,34.036,20000,5,576775.0
Bayesian_UCB,MUDAN,34.388,20000,5,588650.0
EPS,MUDAN,23.902,20000,5,591559.0
TH,MUDAN,201.361,20000,5,610472.0
