radius,nodes,edges,diameter,communities,components,triangles,coeff,deg_distr,mean_dev
2.6,20000,219022,9,37,1,867778,0.5419316971547097,"[0.000e+00 0.000e+00 0.000e+00 1.000e+00 1.000e+00 5.000e+00 1.200e+01
 1.400e+01 2.300e+01 4.500e+01 7.300e+01 1.300e+02 2.010e+02 2.600e+02
 4.010e+02 5.370e+02 7.790e+02 1.001e+03 1.233e+03 1.482e+03 1.641e+03
 1.635e+03 1.739e+03 1.561e+03 1.510e+03 1.297e+03 1.087e+03 8.680e+02
 7.300e+02 5.360e+02 3.940e+02 2.910e+02 1.630e+02 1.320e+02 8.300e+01
 5.600e+01 3.200e+01 1.800e+01 1.500e+01 1.000e+01 3.000e+00 0.000e+00
 0.000e+00 1.000e+00]","(21.902, 4.826)"
2.7,20000,235899,10,33,1,1017951,0.5458839526929864,"[0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 3.000e+00 2.000e+00
 1.200e+01 1.600e+01 2.900e+01 3.900e+01 5.700e+01 1.060e+02 1.370e+02
 2.800e+02 3.780e+02 5.230e+02 6.900e+02 9.200e+02 1.124e+03 1.305e+03
 1.428e+03 1.541e+03 1.547e+03 1.497e+03 1.407e+03 1.317e+03 1.161e+03
 1.003e+03 8.840e+02 7.220e+02 5.280e+02 4.410e+02 2.860e+02 2.190e+02
 1.280e+02 8.900e+01 6.700e+01 4.600e+01 2.600e+01 1.600e+01 1.000e+01
 9.000e+00 4.000e+00 2.000e+00]","(23.59, 5.185)"
2.8,20000,252197,9,33,1,1167407,0.5503318639307756,"[0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 1.000e+00 1.000e+00
 7.000e+00 1.200e+01 1.500e+01 3.900e+01 5.300e+01 7.600e+01 1.180e+02
 1.760e+02 2.130e+02 2.960e+02 4.310e+02 5.540e+02 7.130e+02 8.520e+02
 1.095e+03 1.264e+03 1.426e+03 1.549e+03 1.534e+03 1.468e+03 1.517e+03
 1.312e+03 1.200e+03 1.041e+03 7.710e+02 6.420e+02 4.820e+02 3.540e+02
 2.710e+02 1.810e+02 1.250e+02 8.100e+01 4.600e+01 3.200e+01 2.000e+01
 9.000e+00 7.000e+00 7.000e+00 5.000e+00 3.000e+00 0.000e+00 1.000e+00]","(25.22, 5.289)"
