Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAN,8.422,20000,1,285854.0,shapley_degree
Bayesian_UCB,MUDAN,6.999,20000,1,224232.0,shapley_degree
Bayesian_UCB_prior,MUDAN,7.483,20000,1,239267.0,shapley_degree
TH,MUDAN,9.957,20000,1,216185.0,shapley_degree
TH_prior,MUDAN,11.146,20000,1,242001.0,shapley_degree
UCB,MUDAN,11.12,20000,2,515747.0,shapley_degree
Bayesian_UCB,MUDAN,8.989,20000,2,351755.0,shapley_degree
Bayesian_UCB_prior,MUDAN,7.693,20000,2,395035.0,shapley_degree
TH,MUDAN,8.651,20000,2,373411.0,shapley_degree
TH_prior,MUDAN,8.833,20000,2,366523.0,shapley_degree
UCB,MUDAN,7.979,20000,3,641429.0,shapley_degree
Bayesian_UCB,MUDAN,7.937,20000,3,513718.0,shapley_degree
Bayesian_UCB_prior,MUDAN,10.496,20000,3,519909.0,shapley_degree
TH,MUDAN,7.46,20000,3,485069.0,shapley_degree
TH_prior,MUDAN,7.282,20000,3,461881.0,shapley_degree
UCB,MUDAN,6.272,20000,4,798054.0,shapley_degree
Bayesian_UCB,MUDAN,7.265,20000,4,603379.0,shapley_degree
Bayesian_UCB_prior,MUDAN,6.062,20000,4,643057.0,shapley_degree
TH,MUDAN,7.626,20000,4,680727.0,shapley_degree
TH_prior,MUDAN,7.819,20000,4,552957.0,shapley_degree
UCB,MUDAN,8.915,20000,5,802356.0,shapley_degree
Bayesian_UCB,MUDAN,6.913,20000,5,666457.0,shapley_degree
Bayesian_UCB_prior,MUDAN,9.451,20000,5,711128.0,shapley_degree
TH,MUDAN,11.289,20000,5,691785.0,shapley_degree
TH_prior,MUDAN,10.417,20000,5,703147.0,shapley_degree
UCB,MUDAN,6.61,20000,1,257146.0,shapley_threshold
Bayesian_UCB,MUDAN,7.362,20000,1,234224.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,8.482,20000,1,224384.0,shapley_threshold
TH,MUDAN,8.709,20000,1,231817.0,shapley_threshold
TH_prior,MUDAN,8.757,20000,1,207984.0,shapley_threshold
UCB,MUDAN,9.617,20000,2,519596.0,shapley_threshold
Bayesian_UCB,MUDAN,11.962,20000,2,370324.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,11.867,20000,2,407049.0,shapley_threshold
TH,MUDAN,12.826,20000,2,374746.0,shapley_threshold
TH_prior,MUDAN,11.874,20000,2,381343.0,shapley_threshold
UCB,MUDAN,11.564,20000,3,520139.0,shapley_threshold
Bayesian_UCB,MUDAN,10.648,20000,3,518440.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,7.525,20000,3,496227.0,shapley_threshold
TH,MUDAN,9.819,20000,3,505822.0,shapley_threshold
TH_prior,MUDAN,10.767,20000,3,521261.0,shapley_threshold
UCB,MUDAN,12.253,20000,4,740811.0,shapley_threshold
Bayesian_UCB,MUDAN,10.771,20000,4,703584.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,10.005,20000,4,626752.0,shapley_threshold
TH,MUDAN,8.924,20000,4,619468.0,shapley_threshold
TH_prior,MUDAN,8.739,20000,4,654315.0,shapley_threshold
UCB,MUDAN,7.945,20000,5,902919.0,shapley_threshold
Bayesian_UCB,MUDAN,8.57,20000,5,715151.0,shapley_threshold
Bayesian_UCB_prior,MUDAN,8.493,20000,5,759866.0,shapley_threshold
TH,MUDAN,9.355,20000,5,695217.0,shapley_threshold
TH_prior,MUDAN,10.603,20000,5,699896.0,shapley_threshold
UCB,MUDAN,10.586,20000,1,244483.0,shapley_closeness
Bayesian_UCB,MUDAN,8.324,20000,1,227761.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,8.587,20000,1,224987.0,shapley_closeness
TH,MUDAN,11.836,20000,1,231453.0,shapley_closeness
TH_prior,MUDAN,12.267,20000,1,229701.0,shapley_closeness
UCB,MUDAN,16.687,20000,2,406539.0,shapley_closeness
Bayesian_UCB,MUDAN,5.336,20000,2,333946.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,6.718,20000,2,377991.0,shapley_closeness
TH,MUDAN,8.504,20000,2,348006.0,shapley_closeness
TH_prior,MUDAN,7.482,20000,2,382509.0,shapley_closeness
UCB,MUDAN,6.8,20000,3,683859.0,shapley_closeness
Bayesian_UCB,MUDAN,6.673,20000,3,558241.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,7.297,20000,3,484623.0,shapley_closeness
TH,MUDAN,11.322,20000,3,489545.0,shapley_closeness
TH_prior,MUDAN,12.444,20000,3,481766.0,shapley_closeness
UCB,MUDAN,13.866,20000,4,847656.0,shapley_closeness
Bayesian_UCB,MUDAN,8.908,20000,4,586603.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,7.377,20000,4,565857.0,shapley_closeness
TH,MUDAN,10.883,20000,4,590342.0,shapley_closeness
TH_prior,MUDAN,13.569,20000,4,575012.0,shapley_closeness
UCB,MUDAN,13.224,20000,5,954375.0,shapley_closeness
Bayesian_UCB,MUDAN,7.95,20000,5,660466.0,shapley_closeness
Bayesian_UCB_prior,MUDAN,9.151,20000,5,760862.0,shapley_closeness
TH,MUDAN,9.37,20000,5,683938.0,shapley_closeness
TH_prior,MUDAN,10.811,20000,5,736818.0,shapley_closeness
