Bandit,Auction,Time (s),T,k,Revenue,armset
UCB,MUDAR,8.186,20000,2,383709.50139571604,shapley_threshold
Bayesian_UCB,MUDAR,12.464,20000,2,343989.4351986374,shapley_threshold
Bayesian_UCB_prior,MUDAR,13.728,20000,2,357594.5290603654,shapley_threshold
TH,MUDAR,12.413,20000,2,325929.2788222704,shapley_threshold
TH_prior,MUDAR,12.626,20000,2,364625.5239307717,shapley_threshold
UCB,MUDAR,12.83,20000,3,552400.0782895299,shapley_threshold
Bayesian_UCB,MUDAR,10.564,20000,3,461293.2637737188,shapley_threshold
Bayesian_UCB_prior,MUDAR,12.054,20000,3,463529.4716698084,shapley_threshold
TH,MUDAR,12.114,20000,3,428868.6912039943,shapley_threshold
TH_prior,MUDAR,13.52,20000,3,464303.0481018075,shapley_threshold
UCB,MUDAR,10.252,20000,4,646923.7664566053,shapley_threshold
Bayesian_UCB,MUDAR,8.811,20000,4,509001.6744445534,shapley_threshold
Bayesian_UCB_prior,MUDAR,8.061,20000,4,518666.48279872054,shapley_threshold
TH,MUDAR,9.27,20000,4,463867.1146799534,shapley_threshold
TH_prior,MUDAR,11.666,20000,4,493431.6288797913,shapley_threshold
UCB,MUDAR,12.408,20000,5,673847.4548937212,shapley_threshold
Bayesian_UCB,MUDAR,12.335,20000,5,547039.5482510593,shapley_threshold
Bayesian_UCB_prior,MUDAR,9.519,20000,5,583577.0217556596,shapley_threshold
TH,MUDAR,10.105,20000,5,529365.9486236671,shapley_threshold
TH_prior,MUDAR,11.127,20000,5,558412.295787565,shapley_threshold
UCB,MUDAR,8.252,20000,2,407216.40785805625,shapley_closeness
Bayesian_UCB,MUDAR,8.332,20000,2,344132.5069638871,shapley_closeness
Bayesian_UCB_prior,MUDAR,7.523,20000,2,346195.6431314396,shapley_closeness
TH,MUDAR,9.448,20000,2,338646.048909258,shapley_closeness
TH_prior,MUDAR,15.977,20000,2,336425.7455529573,shapley_closeness
UCB,MUDAR,7.186,20000,3,475935.31128494954,shapley_closeness
Bayesian_UCB,MUDAR,6.63,20000,3,459052.37761916546,shapley_closeness
Bayesian_UCB_prior,MUDAR,5.996,20000,3,423330.4328761219,shapley_closeness
TH,MUDAR,6.718,20000,3,493755.21441923594,shapley_closeness
TH_prior,MUDAR,7.766,20000,3,451319.84188581974,shapley_closeness
UCB,MUDAR,4.854,20000,4,649729.1335260118,shapley_closeness
Bayesian_UCB,MUDAR,6.276,20000,4,542927.9803105369,shapley_closeness
Bayesian_UCB_prior,MUDAR,7.335,20000,4,513801.7541736317,shapley_closeness
TH,MUDAR,9.72,20000,4,539371.6110333818,shapley_closeness
TH_prior,MUDAR,7.784,20000,4,523516.88425131567,shapley_closeness
UCB,MUDAR,10.378,20000,5,633178.951398472,shapley_closeness
Bayesian_UCB,MUDAR,12.344,20000,5,536191.118106601,shapley_closeness
Bayesian_UCB_prior,MUDAR,11.408,20000,5,606664.5852134015,shapley_closeness
TH,MUDAR,13.887,20000,5,558884.4273067589,shapley_closeness
TH_prior,MUDAR,11.86,20000,5,567885.0923965343,shapley_closeness
