,Bandit,Auction,Revenue,armset
0,UCB,GIDM,649546.0,degree
1,UCB,GIDM,795898.0,degree
2,UCB,GIDM,882022.0,voterank
3,UCB,MUDAN,954375.0,shapley_closeness
