Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,32.991,20000,1,2259147.28614261
Bayesian_UCB,MUDAR,32.975,20000,1,2240874.440980089
Bayesian_UCB,MUDAR,33.564,20000,1,2282587.746502727
EPS,MUDAR,23.538,20000,1,2219780.7521215584
TH,MUDAR,201.753,20000,1,2299760.808977223
UCB,MUDAR,33.279,20000,2,1938400.044298276
Bayesian_UCB,MUDAR,33.472,20000,2,1966145.7685392413
Bayesian_UCB,MUDAR,34.137,20000,2,2032116.226090734
EPS,MUDAR,24.001,20000,2,1914626.9227888985
TH,MUDAR,205.215,20000,2,1973103.3461108685
UCB,MUDAR,33.421,20000,3,1835015.5878735427
Bayesian_UCB,MUDAR,34.037,20000,3,1759654.3551901106
Bayesian_UCB,MUDAR,34.043,20000,3,1749670.6928936227
EPS,MUDAR,23.613,20000,3,1736411.9603473595
TH,MUDAR,200.554,20000,3,1756069.0144429093
UCB,MUDAR,33.668,20000,4,1680843.547796858
Bayesian_UCB,MUDAR,33.617,20000,4,1616873.584275878
Bayesian_UCB,MUDAR,33.729,20000,4,1611266.8183832406
EPS,MUDAR,23.807,20000,4,1460175.001772986
TH,MUDAR,204.925,20000,4,1736588.0132943008
UCB,MUDAR,33.423,20000,5,1468083.027557439
Bayesian_UCB,MUDAR,33.544,20000,5,1494028.571119659
Bayesian_UCB,MUDAR,33.567,20000,5,1464041.5935606263
EPS,MUDAR,23.727,20000,5,1481205.9672334797
TH,MUDAR,205.843,20000,5,1813578.0387679057
