Bandit,Auction,Time (s),T,k,Revenue
UCB,MUDAR,35.301,20000,1,2262415.8203475173
Bayesian_UCB,MUDAR,34.899,20000,1,2221584.82830864
Bayesian_UCB,MUDAR,35.914,20000,1,2264073.5345846433
EPS,MUDAR,28.029,20000,1,2362357.626537351
TH,MUDAR,233.36,20000,1,2879664.038575735
UCB,MUDAR,42.388,20000,2,1999402.1765334383
Bayesian_UCB,MUDAR,38.325,20000,2,1961626.7543857938
Bayesian_UCB,MUDAR,37.355,20000,2,1974016.4285351797
EPS,MUDAR,23.947,20000,2,1955933.3299160677
TH,MUDAR,193.03,20000,2,2237789.549493101
UCB,MUDAR,40.577,20000,3,1758816.3792674784
Bayesian_UCB,MUDAR,39.021,20000,3,1747467.6028204062
Bayesian_UCB,MUDAR,38.871,20000,3,1803153.502898227
EPS,MUDAR,24.56,20000,3,1806052.831279915
TH,MUDAR,206.422,20000,3,1893592.0554066186
UCB,MUDAR,38.636,20000,4,1682646.7920898176
Bayesian_UCB,MUDAR,37.712,20000,4,1588758.9308046175
Bayesian_UCB,MUDAR,38.224,20000,4,1533638.3327468336
EPS,MUDAR,23.129,20000,4,1650202.8161211766
TH,MUDAR,197.784,20000,4,1636549.391687236
UCB,MUDAR,32.409,20000,5,1516488.3653744329
Bayesian_UCB,MUDAR,33.042,20000,5,1500474.1510195604
Bayesian_UCB,MUDAR,34.509,20000,5,1485379.9233225933
EPS,MUDAR,23.112,20000,5,1441227.1029929256
TH,MUDAR,199.991,20000,5,1513429.3848544082
