,Bandit,T,k,Revenue,armset
0,UCB,60000,1,11446855.968348546,degree
1,UCB,60000,2,9641472.201235997,degree
2,UCB,60000,3,8347570.282189771,pagerank
3,UCB,60000,4,7774543.567594587,voterank
4,UCB,60000,5,7909168.892673735,degree
