,Bandit,Auction,Time (s),T,k,Revenue
0,Bayesian_UCB,MUDAR,34.83,20001,1,2297725.840902015
1,UCB,MUDAR,33.517,20001,2,1982071.555318789
2,TH,MUDAR,196.806,20001,3,2138664.4987470936
3,TH,MUDAR,197.923,20001,4,1852158.129110895
4,TH,MUDAR,198.618,20001,5,1785523.8322182924
