,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAR,12.336,20000,1,3752522.0096183945,degree
1,UCB,MUDAR,7.344,20000,2,3069954.0392733486,voterank
2,UCB,MUDAR,10.868,20000,3,2830109.677764927,voterank
3,Bayesian_UCB_prior,MUDAR,8.015,20000,4,2622002.989768196,voterank
4,UCB,MUDAR,8.735,20000,5,2362441.9439656776,voterank
