,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAR,96.123,80000,1,13704341.402322251,shapley_closeness
1,Bayesian_UCB_prior,MUDAR,79.076,80000,2,11288342.942171771,pagerank
2,UCB,MUDAR,112.566,80000,3,11083965.58220575,degree
3,UCB,MUDAR,94.646,80000,4,11117008.7653554,degree
4,UCB,MUDAR,71.983,80000,5,8714339.661898166,voterank
