,Bandit,T,k,Revenue,armset
0,UCB,40000,2,1089770.0,voterank
1,UCB,40000,3,1261602.0,voterank
2,UCB,40000,4,1508542.0,pagerank
3,UCB,40000,5,1680171.0,degree
