,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAR,73.006,80000,1,15686101.15305531,degree
1,UCB,MUDAR,80.641,80000,2,12309367.386628326,pagerank
2,UCB,MUDAR,96.909,80000,3,11361345.743874015,degree
3,UCB,MUDAR,84.111,80000,4,10622813.587190889,pagerank
4,UCB,MUDAR,98.476,80000,5,10077727.84577022,degree
