,Bandit,T,k,Revenue,armset
0,UCB,20000,1,3570153.2570510376,voterank
1,UCB,20000,2,3399539.354707705,degree
2,UCB,20000,3,2982148.121587534,voterank
3,UCB,20000,4,3122919.915043383,degree
4,UCB,20000,5,2626884.7995507726,degree
