Bandit,T,AVG reward,Last reward
UCB,10000,5271.527132481943,10058.730733718723
EPS,10000,5680.30108,10830.8
Bayes UCB,10000,5390.5712147567,10276.117284345255
Thompson,10000,1062.0500451782207,1417.504599185288
