Bandit,T,AVG reward,Last reward
UCB,10000,626.8770800000001,1055.8
EPS,10000,675.6988481837827,1179.5491589186713
Bayes UCB,10000,659.73014,1184.4
Thompson,10000,159.1436192678616,319.7726600140333
