,Bandit,Auction,Time (s),T,k,Revenue,armset
0,UCB,MUDAR,57.07,80000,1,15096245.003831,pagerank
1,UCB,MUDAR,75.05,80000,2,11264779.946442015,voterank
2,UCB,MUDAR,70.177,80000,3,11945655.579554588,voterank
3,UCB,MUDAR,85.573,80000,4,11073880.526814334,degree
4,UCB,MUDAR,84.354,80000,5,10389340.360215656,voterank
